"a_fecha","playerRanking","code","name","age","imageUrl","team_code","team_tvCodes","team_name","team_imageUrl","gamesPlayed","gamesStarted","minutesPlayed","pointsScored","twoPointersMade","twoPointersAttempted","twoPointersPercentage","threePointersMade","threePointersAttempted","threePointersPercentage","freeThrowsMade","freeThrowsAttempted","freeThrowsPercentage","offensiveRebounds","defensiveRebounds","totalRebounds","assists","steals","turnovers","blocks","blocksAgainst","foulsCommited","foulsDrawn","pir"
"28-01-2026 04:48:42",133,"006634","MUSHIDI, KOSTJA",27,"https://media-cdn.cortextech.io/ba0a11d9-1974-4a0d-b4e6-3a1803581e5d.png","NIN","NIN","NINERS Chemnitz","https://media-cdn.cortextech.io/75ae96be-69f9-4e48-b5bd-b1056842db57.png",15,7,17.3988888888889,7.2,1.8,2.7,"67.5%",0.9,2.7,"32.5%",1,1.5,"68.2%",0.6,1.1,1.7,1.5,0.4,1.1,0.3,0.1,2.2,1.3,5.9
"28-01-2026 04:48:42",134,"009180","SCHOORMANN, LEN",23,"https://media-cdn.cortextech.io/93bdd609-1596-414c-92a9-38155e69d6c4.png","ULM","ULM","ratiopharm ulm","https://media-cdn.cortextech.io/5750bc8b-dd63-48e4-8586-10d4e5e2b4e2.png",9,4,17.9722222222222,6,1.9,3,"63%",0.3,1,"33.3%",1.2,1.4,"84.6%",0.8,0.9,1.7,0.8,1,1.6,0,0.4,1.4,1.7,5.7
"28-01-2026 04:48:42",135,"003240","BOCHORIDIS, ELEFTHERIOS",31,"https://media-cdn.cortextech.io/d3ed0fc3-8d16-4e44-99b6-29dbb772ef4e.png","ARI","ARI","Aris Thessaloniki","https://media-cdn.cortextech.io/28be84d9-ad7e-43b3-8d8c-822bb76b8a9e.png",13,4,17.9923076923077,4.9,1.1,2,"53.8%",0.6,1.4,"44.4%",0.9,1.2,"75%",0.9,1.9,2.8,1.8,0.5,1.1,0.2,0.2,2.9,1.6,5.6
"28-01-2026 04:48:42",136,"011317","STARKS , MARKEL",34,"https://media-cdn.cortextech.io/f553493c-0203-4249-a87b-c69b0a821fba.png","NIO","PAN","Panionios BC","https://media-cdn.cortextech.io/b29ffd81-917d-4cc9-bcbc-05d4a3b481c5.png",14,11,25.2940476190476,7.1,1.5,4.1,"36.8%",1.1,3.8,"28.3%",0.9,1,"85.7%",0.1,1.7,1.8,4.8,0.6,2.9,0,0.4,1.4,1.4,5.6
"28-01-2026 04:48:42",137,"011931","MORRIS, JAMEL",33,"https://media-cdn.cortextech.io/0afec6bc-7878-44ca-9afb-a2aa1f5f3d89.png","LKB","LIE","Lietkabelis Panevezys ","https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png",14,7,25.7630952380952,12.9,2,5.5,"36.4%",2.3,5.9,"38.6%",2,2.7,"73.7%",0,1.4,1.4,2.2,0.4,3.1,0,0.4,2.7,2.5,5.4
"28-01-2026 04:48:42",138,"012023","PAPAS, GEORGE",27,"https://media-cdn.cortextech.io/90b2cd12-0e46-430f-9c4a-da226099a5fc.png","NIO","PAN","Panionios BC","https://media-cdn.cortextech.io/b29ffd81-917d-4cc9-bcbc-05d4a3b481c5.png",9,3,17.3907407407407,6.2,0.8,1.3,"58.3%",1.1,3.9,"28.6%",1.3,1.4,"92.3%",0.8,1.2,2,1,0.4,0.9,0.1,0,1.6,1.4,5.3
"28-01-2026 04:48:42",139,"013898","MITCHELL, VINCENT",25,"https://media-cdn.cortextech.io/a588ae5b-7be1-4848-85a2-1ce76fb9ee78.png","BOU","JLB","JL Bourg","https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png",13,1,16.8153846153846,5.7,1.6,2.8,"58.3%",0.4,1.9,"20%",1.3,1.7,"77.3%",1.1,2,3.1,1.1,0.4,1,0.5,0,3.2,1.8,5.3
"28-01-2026 04:48:42",140,"013904","HUBER, ROI",28,"https://media-cdn.cortextech.io/50f2857c-fd87-4d80-b8ad-79cc57889af9.png","JER","JLM","Hapoel Jerusalem Basketball Club","https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png",13,0,10.9320512820513,4.5,0.6,0.9,"66.7%",0.8,1.8,"45.8%",0.8,1,"76.9%",0.2,1,1.2,1.8,0.2,0.8,0,0,0.5,0.5,5.2
"28-01-2026 04:48:42",141,"013864","MUTIC, LAZAR",26,"https://media-cdn.cortextech.io/d71392b0-1f1c-4600-a6cb-172423fbb777.png","LKB","LIE","Lietkabelis Panevezys ","https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png",15,14,21.1266666666667,5.8,1.7,3.3,"50%",0.6,1.5,"40.9%",0.7,1.1,"62.5%",1.4,2.7,4.1,0.8,0.4,1.3,0.1,0.3,2.9,1.5,5.2
"28-01-2026 04:48:42",142,"011239","ENOCH, STEVEN",28,"https://media-cdn.cortextech.io/0d3a703d-6560-45ba-9d02-159bd0880d08.png","ARI","ARI","Aris Thessaloniki","https://media-cdn.cortextech.io/28be84d9-ad7e-43b3-8d8c-822bb76b8a9e.png",14,9,17.2738095238095,5.9,2.1,3.8,"56.6%",0.1,0.4,"20%",1.4,2,"71.4%",1.3,2,3.3,0.4,0.4,1.7,0.3,0.1,2.7,1.8,5.1
